cycle_id,resident_id,machine_id,start_time,end_time,price
1,84,181,2026-01-01 13:30:00,2026-01-01 14:30:00,2.5
2,54,133,2026-01-01 16:00:00,2026-01-01 16:45:00,2.5
3,71,141,2026-01-01 17:30:00,2026-01-01 18:00:00,2.5
4,46,172,2026-01-01 17:15:00,2026-01-01 17:45:00,2.5
5,45,148,2026-01-01 12:30:00,2026-01-01 14:00:00,2.0
6,40,199,2026-01-01 17:45:00,2026-01-01 18:45:00,2.0
7,23,135,2026-01-01 06:30:00,2026-01-01 08:00:00,2.5
8,81,147,2026-01-01 19:30:00,2026-01-01 20:00:00,2.0
9,11,105,2026-01-01 15:30:00,2026-01-01 16:30:00,2.5
10,1,109,2026-01-01 20:30:00,2026-01-01 21:15:00,2.0
11,19,142,2026-01-01 17:00:00,2026-01-01 18:00:00,2.5
12,31,163,2026-01-01 21:30:00,2026-01-01 22:00:00,2.5
13,74,152,2026-01-01 18:45:00,2026-01-01 20:00:00,2.5
14,34,194,2026-01-01 10:30:00,2026-01-01 12:00:00,2.5
15,91,115,2026-01-01 16:00:00,2026-01-01 17:15:00,2.5
16,5,113,2026-01-01 21:30:00,2026-01-01 22:30:00,2.5
17,77,186,2026-01-01 17:15:00,2026-01-01 18:00:00,2.0
18,78,145,2026-01-01 19:00:00,2026-01-01 20:30:00,2.5
19,13,106,2026-01-01 17:45:00,2026-01-01 19:00:00,2.0
20,32,144,2026-01-01 09:15:00,2026-01-01 10:15:00,2.5
21,56,192,2026-01-01 14:30:00,2026-01-01 15:00:00,2.5
22,89,101,2026-01-01 14:30:00,2026-01-01 15:00:00,2.5
23,27,177,2026-01-01 14:30:00,2026-01-01 15:30:00,2.0
24,43,109,2026-01-01 19:00:00,2026-01-01 19:30:00,2.0
25,70,151,2026-01-01 15:45:00,2026-01-01 16:45:00,2.5
26,16,132,2026-01-01 21:45:00,2026-01-01 22:15:00,2.5
27,10,180,2026-01-02 18:00:00,2026-01-02 19:15:00,2.0
28,21,133,2026-01-02 09:00:00,2026-01-02 10:30:00,2.5
29,13,148,2026-01-02 09:45:00,2026-01-02 10:45:00,2.0
30,14,117,2026-01-02 21:00:00,2026-01-02 22:15:00,2.0
31,50,159,2026-01-02 08:15:00,2026-01-02 09:45:00,2.0
32,15,151,2026-01-02 11:45:00,2026-01-02 12:45:00,2.5
33,100,127,2026-01-02 07:00:00,2026-01-02 07:30:00,2.0
34,76,128,2026-01-02 20:45:00,2026-01-02 21:15:00,2.0
35,37,169,2026-01-02 17:00:00,2026-01-02 18:00:00,2.0
36,34,104,2026-01-02 08:45:00,2026-01-02 09:15:00,2.5
37,45,117,2026-01-02 17:45:00,2026-01-02 19:15:00,2.0
38,83,146,2026-01-02 10:15:00,2026-01-02 11:15:00,2.0
39,72,137,2026-01-02 13:00:00,2026-01-02 13:30:00,2.0
40,49,146,2026-01-02 10:30:00,2026-01-02 11:30:00,2.0
41,6,160,2026-01-02 06:45:00,2026-01-02 08:15:00,2.0
42,4,185,2026-01-02 21:30:00,2026-01-02 22:00:00,2.5
43,8,167,2026-01-02 21:15:00,2026-01-02 21:45:00,2.0
44,74,195,2026-01-02 11:15:00,2026-01-02 12:15:00,2.5
45,46,146,2026-01-02 13:15:00,2026-01-02 14:00:00,2.0
46,22,127,2026-01-02 15:15:00,2026-01-02 16:00:00,2.0
47,48,117,2026-01-02 13:00:00,2026-01-02 13:30:00,2.0
48,57,143,2026-01-02 11:45:00,2026-01-02 13:15:00,2.5
49,42,142,2026-01-02 12:15:00,2026-01-02 13:15:00,2.5
50,82,150,2026-01-02 14:45:00,2026-01-02 16:15:00,2.0
51,73,160,2026-01-02 15:30:00,2026-01-02 16:00:00,2.0
52,99,136,2026-01-02 18:45:00,2026-01-02 19:15:00,2.0
53,63,108,2026-01-02 21:15:00,2026-01-02 22:30:00,2.0
54,29,187,2026-01-02 20:45:00,2026-01-02 21:30:00,2.0
55,9,166,2026-01-02 21:30:00,2026-01-02 22:30:00,2.0
56,43,125,2026-01-02 15:30:00,2026-01-02 17:00:00,2.5
57,27,122,2026-01-02 15:15:00,2026-01-02 15:45:00,2.5
58,88,152,2026-01-02 15:15:00,2026-01-02 16:15:00,2.5
59,5,160,2026-01-02 10:00:00,2026-01-02 11:30:00,2.0
60,97,160,2026-01-02 17:45:00,2026-01-02 19:15:00,2.0
61,47,168,2026-01-02 11:00:00,2026-01-02 12:15:00,2.0
62,84,194,2026-01-02 20:30:00,2026-01-02 21:45:00,2.5
63,64,116,2026-01-02 18:15:00,2026-01-02 19:30:00,2.0
64,78,130,2026-01-02 08:00:00,2026-01-02 09:00:00,2.0
65,77,192,2026-01-02 15:30:00,2026-01-02 16:15:00,2.5
66,46,124,2026-01-03 21:30:00,2026-01-03 22:00:00,2.5
67,80,199,2026-01-03 21:45:00,2026-01-03 22:30:00,2.0
68,6,196,2026-01-03 13:30:00,2026-01-03 15:00:00,2.0
69,30,112,2026-01-03 06:30:00,2026-01-03 08:00:00,2.5
70,50,123,2026-01-03 14:30:00,2026-01-03 15:00:00,2.5
71,36,130,2026-01-03 06:00:00,2026-01-03 07:15:00,2.0
72,85,189,2026-01-03 11:00:00,2026-01-03 12:00:00,2.0
73,15,119,2026-01-03 06:45:00,2026-01-03 08:00:00,2.0
74,54,161,2026-01-03 14:30:00,2026-01-03 15:45:00,2.5
75,44,109,2026-01-03 12:45:00,2026-01-03 14:00:00,2.0
76,25,183,2026-01-03 15:30:00,2026-01-03 17:00:00,2.5
77,11,169,2026-01-03 08:45:00,2026-01-03 09:15:00,2.0
78,74,152,2026-01-03 16:00:00,2026-01-03 17:15:00,2.5
79,21,153,2026-01-03 12:45:00,2026-01-03 13:15:00,2.5
80,55,139,2026-01-03 18:00:00,2026-01-03 18:45:00,2.0
81,83,158,2026-01-03 12:15:00,2026-01-03 13:00:00,2.0
82,53,105,2026-01-03 08:30:00,2026-01-03 10:00:00,2.5
83,7,175,2026-01-03 07:30:00,2026-01-03 08:45:00,2.5
84,97,109,2026-01-03 15:15:00,2026-01-03 16:30:00,2.0
85,70,117,2026-01-03 18:15:00,2026-01-03 19:45:00,2.0
86,42,140,2026-01-03 15:00:00,2026-01-03 15:45:00,2.0
87,65,127,2026-01-03 15:15:00,2026-01-03 16:45:00,2.0
88,8,129,2026-01-03 10:15:00,2026-01-03 11:15:00,2.0
89,17,108,2026-01-03 21:00:00,2026-01-03 21:30:00,2.0
90,27,105,2026-01-04 12:45:00,2026-01-04 13:15:00,2.5
91,78,165,2026-01-04 07:45:00,2026-01-04 08:15:00,2.5
92,52,111,2026-01-04 10:15:00,2026-01-04 10:45:00,2.5
93,22,186,2026-01-04 16:30:00,2026-01-04 17:00:00,2.0
94,59,177,2026-01-04 06:15:00,2026-01-04 06:45:00,2.0
95,49,199,2026-01-04 20:00:00,2026-01-04 21:30:00,2.0
96,53,155,2026-01-04 11:45:00,2026-01-04 12:15:00,2.5
97,7,169,2026-01-04 20:00:00,2026-01-04 21:00:00,2.0
98,34,153,2026-01-04 12:00:00,2026-01-04 13:30:00,2.5
99,50,137,2026-01-04 15:15:00,2026-01-04 16:15:00,2.0
100,2,117,2026-01-04 10:15:00,2026-01-04 10:45:00,2.0
101,69,101,2026-01-04 08:00:00,2026-01-04 09:30:00,2.5
102,85,104,2026-01-04 19:00:00,2026-01-04 19:30:00,2.5
103,48,132,2026-01-04 07:45:00,2026-01-04 08:30:00,2.5
