cycle_id,resident_id,machine_id,start_time,end_time,price,duration_min,hour,day_of_week
1,84,181,2026-01-01 13:30:00,2026-01-01 14:30:00,2.5,60.0,13,Thursday
2,54,133,2026-01-01 16:00:00,2026-01-01 16:45:00,2.5,45.0,16,Thursday
3,71,141,2026-01-01 17:30:00,2026-01-01 18:00:00,2.5,30.0,17,Thursday
4,46,172,2026-01-01 17:15:00,2026-01-01 17:45:00,2.5,30.0,17,Thursday
5,45,148,2026-01-01 12:30:00,2026-01-01 14:00:00,2.0,90.0,12,Thursday
6,40,199,2026-01-01 17:45:00,2026-01-01 18:45:00,2.0,60.0,17,Thursday
7,23,135,2026-01-01 06:30:00,2026-01-01 08:00:00,2.5,90.0,6,Thursday
8,81,147,2026-01-01 19:30:00,2026-01-01 20:00:00,2.0,30.0,19,Thursday
9,11,105,2026-01-01 15:30:00,2026-01-01 16:30:00,2.5,60.0,15,Thursday
10,1,109,2026-01-01 20:30:00,2026-01-01 21:15:00,2.0,45.0,20,Thursday
11,19,142,2026-01-01 17:00:00,2026-01-01 18:00:00,2.5,60.0,17,Thursday
12,31,163,2026-01-01 21:30:00,2026-01-01 22:00:00,2.5,30.0,21,Thursday
13,74,152,2026-01-01 18:45:00,2026-01-01 20:00:00,2.5,75.0,18,Thursday
14,34,194,2026-01-01 10:30:00,2026-01-01 12:00:00,2.5,90.0,10,Thursday
15,91,115,2026-01-01 16:00:00,2026-01-01 17:15:00,2.5,75.0,16,Thursday
16,5,113,2026-01-01 21:30:00,2026-01-01 22:30:00,2.5,60.0,21,Thursday
17,77,186,2026-01-01 17:15:00,2026-01-01 18:00:00,2.0,45.0,17,Thursday
18,78,145,2026-01-01 19:00:00,2026-01-01 20:30:00,2.5,90.0,19,Thursday
19,13,106,2026-01-01 17:45:00,2026-01-01 19:00:00,2.0,75.0,17,Thursday
20,32,144,2026-01-01 09:15:00,2026-01-01 10:15:00,2.5,60.0,9,Thursday
21,56,192,2026-01-01 14:30:00,2026-01-01 15:00:00,2.5,30.0,14,Thursday
22,89,101,2026-01-01 14:30:00,2026-01-01 15:00:00,2.5,30.0,14,Thursday
23,27,177,2026-01-01 14:30:00,2026-01-01 15:30:00,2.0,60.0,14,Thursday
24,43,109,2026-01-01 19:00:00,2026-01-01 19:30:00,2.0,30.0,19,Thursday
25,70,151,2026-01-01 15:45:00,2026-01-01 16:45:00,2.5,60.0,15,Thursday
